PLANT ID,BOTANICAL NAME,COMMON NAME,PLANT TYPE,FOLIAGE COLOR(SPRING),FOLIAGE COLOR(FALL),FLOWERS,LEAF TYPE,HARDINESS ZONE,SOIL TYPE,LIGHT REQUIREMENTS,IMAGE
1,PINUS NIGRA,AUSTRIAN PINE,CONIFER,DARK GREEN,DARK GREEN,CONES,ROUND NEEDLES,12,7,FULL SUN,https://www.google.com/search?q=pinus+nigra+in+landscape&safe=active&source=lnms&tbm=isch&sa=X&ved=0ahUKEwjx75HmgoXVAhWh7YMKHVBRCHkQ_AUICigB&biw=1536&bih=760#imgrc=Hkq6kdtEdZILDM:
2,PINUS LEUCODERMIS,BOSNIAN PINE,CONIFER,DARK GREEN,DARK GREEN,CONES,ROUND NEEDLES,21,7,PART SHADE,http://www.monrovia.com/plant-catalog/plants/1983/bosnian-pine/
3,PINUS RESINOSA,RED PINE,CONIFER,GREEN,GREEN,CONES,ROUND NEEDLES,7,18,PART SHADE,http://plants.gertens.com/Content/Images/Photos/F154-06.jpg
4,PINUS DENSIFLORA,JAPANESE RED PINE,CONIFER,YELLOW GREEN,YELLOW GREEN,CONES,FINE NEEDLES,12,18,FULL SUN,http://www.missouribotanicalgarden.org/PlantFinder/FullImageDisplay.aspx?documentid=14492
5,PICEA ABIES,NORWAY SPRUCE,CONIFER,DARK GREEN,DARK GREEN,CONES,ROUND NEEDLES,12,19,PART SHADE,http://www.missouribotanicalgarden.org/PlantFinder/FullImageDisplay.aspx?documentid=9289
6,PICEA OMORIKA ,SERBIAN SPRUCE,CONIFER,DARK GREEN,DARK GREEN,CONES,SQUARE NEEDLES,16,19,PART SHADE,http://www.missouribotanicalgarden.org/PlantFinder/FullImageDisplay.aspx?documentid=2591
7,PSEUDOTSUGA MENZIESII,DOUGLAS FIR,CONIFER,BLUE GREEN,BLUE GREEN,CONES,FLAT NEEDLES,16,19,FULL SUN,http://www.missouribotanicalgarden.org/PlantFinder/FullImageDisplay.aspx?documentid=9296
8,JUNIPERUS VIRGINIANA,EASTERN REDCEDAR,CONIFER,LIGHT GREEN,PLUM,CONES,FLAT SCALE-LIKE,12,7,FULL SUN,http://www.missouribotanicalgarden.org/PlantFinder/FullImageDisplay.aspx?documentid=8152
9,ACER PSEUDOPLATANUS,SYCAMORE MAPLE,DECIDUOUS  ,BRIGHT GREEN,RED,"NON-SHOWY, FRAGRANT, YELLOW","SIMPLE, ELLIPTIC",14,7,PART SHADE,https://www.google.com/search?q=ACER+PSEUDOPLATANUS&safe=active&tbm=isch&imgil=eXYXx_KXFp6LuM%253A%253BEB-6nH_2jMRYsM%253Bhttp%25253A%25252F%25252Fwww.treeseedonline.com%25252Fstore%25252Fp186%25252FSycamore_%2525252528acer_pseudoplatanus%2525252529.html&source=iu&pf=m&fir=eXYXx_KXFp6LuM%253A%252CEB-6nH_2jMRYsM%252C_&usg=__GYcG6oDJuyToMSC_l-lIVD9xZqc%3D&biw=1536&bih=760&ved=0ahUKEwiX--f_g4XVAhWKxYMKHTAdAkYQyjcIkAE&ei=rMJmWZf1E4qLjwSwuoiwBA#imgrc=eXYXx_KXFp6LuM:
10,ACER SACCHARINUM,SILVER MAPLE,DECIDUOUS  ,GREEN,RED,"NON-SHOWY, RED","SIMPLE, ELLIPTIC",12,7,"FULL SUN, PART SHADE",https://www.google.com/imgres?imgurl=https://upload.wikimedia.org/wikipedia/commons/6/64/Silber-Ahorn_%2528Acer_saccharinum%2529.jpg&imgrefurl=https://en.wikipedia.org/wiki/Acer_saccharinum&h=1280&w=1007&tbnid=Dp0_hTEjqJeprM:&tbnh=186&tbnw=146&usg=__eXL7QLE_kLNtkZxcISlIUJrHkxQ=&vet=10ahUKEwi3_saRhIXVAhWF6YMKHSo0AjwQ_B0IfDAK..i&docid=SxaiUH1kCmSfRM&itg=1&sa=X&ved=0ahUKEwi3_saRhIXVAhWF6YMKHSo0AjwQ_B0IfDAK&ei=0cJmWffRIIXTjwSq6IjgAw
